vessel,begin_date,end_date,begin_port_id,end_port_id
4,2019-11-08,2019-12-01,58.0,55.0
4,2019-12-02,2019-12-27,55.0,18.0
5,2019-01-01,2019-01-17,58.0,104.0
5,2019-01-18,2019-02-02,104.0,29.0
5,2019-02-04,2019-02-14,29.0,99.0
5,2019-02-19,2019-03-03,99.0,149.0
5,2019-03-05,2019-04-04,149.0,91.0
5,2019-04-06,2019-04-21,91.0,83.0
5,2019-04-22,2019-04-24,83.0,138.0
5,2019-04-29,2019-05-22,138.0,134.0
5,2019-05-27,2019-06-20,134.0,10.0
5,2019-06-24,2019-07-05,10.0,134.0
5,2019-07-06,2019-07-26,134.0,97.0
5,2019-07-29,2019-08-06,97.0,83.0
5,2019-08-07,2019-08-09,83.0,138.0
5,2019-08-12,2019-08-30,138.0,56.0
5,2019-08-31,2019-09-04,56.0,84.0
5,2019-09-06,2019-09-27,84.0,138.0
5,2019-09-28,2019-10-15,138.0,134.0
5,2019-10-16,2019-10-18,134.0,122.0
5,2019-10-19,2019-10-22,122.0,55.0
5,2019-10-23,2019-11-23,55.0,87.0
5,2019-11-24,2019-12-16,87.0,10.0
6,2019-01-10,2019-01-16,7.0,115.0
6,2019-02-05,2019-02-05,115.0,54.0
6,2019-02-21,2019-02-22,54.0,115.0
6,2019-02-23,2019-03-04,115.0,99.0
6,2019-03-14,2019-03-14,99.0,32.0
6,2019-03-16,2019-03-25,32.0,11.0
6,2019-03-26,2019-04-03,11.0,90.0
6,2019-04-19,2019-04-28,90.0,23.0
6,2019-04-29,2019-05-13,23.0,32.0
6,2019-05-14,2019-05-27,32.0,11.0
6,2019-05-28,2019-06-10,11.0,99.0
6,2019-06-12,2019-06-12,99.0,32.0
6,2019-06-13,2019-06-27,32.0,29.0
6,2019-06-28,2019-07-06,29.0,32.0
6,2019-07-07,2019-07-16,32.0,149.0
6,2019-07-18,2019-07-21,149.0,34.0
6,2019-07-21,2019-07-30,34.0,73.0
6,2019-07-30,2019-08-08,73.0,22.0
6,2019-08-09,2019-08-13,22.0,34.0
6,2019-08-31,2019-10-06,34.0,138.0
6,2019-10-07,2019-12-04,138.0,175.0
6,2019-12-05,2019-12-22,175.0,82.0
7,2019-01-06,2019-01-28,10.0,91.0
7,2019-01-29,2019-02-16,91.0,83.0
7,2019-02-19,2019-02-23,83.0,138.0
7,2019-02-25,2019-03-09,138.0,10.0
7,2019-03-09,2019-04-05,10.0,134.0
7,2019-04-06,2019-04-18,134.0,10.0
7,2019-04-19,2019-05-02,10.0,105.0
7,2019-05-03,2019-05-06,105.0,10.0
7,2019-05-08,2019-05-23,10.0,87.0
7,2019-05-26,2019-06-05,87.0,10.0
7,2019-06-07,2019-06-17,10.0,95.0
7,2019-06-20,2019-07-03,95.0,10.0
7,2019-07-22,2019-08-03,10.0,20.0
7,2019-08-03,2019-08-15,20.0,10.0
7,2019-08-15,2019-08-25,10.0,95.0
7,2019-08-26,2019-09-09,95.0,91.0
7,2019-09-11,2019-10-03,91.0,23.0
7,2019-10-05,2019-10-31,23.0,91.0
7,2019-11-01,2019-11-26,91.0,120.0
7,2019-11-27,2019-12-14,120.0,165.0
8,2019-01-26,2019-02-15,10.0,138.0
8,2019-02-19,2019-03-07,138.0,82.0
8,2019-03-08,2019-03-24,82.0,115.0
8,2019-03-26,2019-03-29,115.0,90.0
8,2019-04-07,2019-04-13,90.0,18.0
8,2019-04-16,2019-04-27,18.0,32.0
8,2019-04-28,2019-05-07,32.0,154.0
8,2019-05-09,2019-05-26,154.0,21.0
8,2019-05-26,2019-06-19,21.0,91.0
8,2019-06-21,2019-07-11,91.0,126.0
8,2019-07-12,2019-08-01,126.0,57.0
8,2019-08-02,2019-08-19,57.0,35.0
8,2019-08-20,2019-09-12,35.0,57.0
8,2019-09-13,2019-10-11,57.0,120.0
8,2019-10-17,2019-10-28,120.0,138.0
8,2019-10-29,2019-11-28,138.0,34.0
8,2019-11-29,2019-11-30,34.0,58.0
8,2019-12-01,2019-12-12,58.0,100.0
8,2019-12-16,2019-12-23,100.0,139.0
9,2019-01-01,2019-01-23,11.0,51.0
9,2019-01-24,2019-03-24,51.0,54.0
9,2019-03-28,2019-03-31,54.0,115.0
9,2019-03-31,2019-04-21,115.0,57.0
9,2019-04-23,2019-05-10,57.0,15.0
9,2019-05-11,2019-06-07,15.0,10.0
9,2019-06-08,2019-07-04,10.0,120.0
9,2019-07-05,2019-07-17,120.0,10.0
9,2019-07-25,2019-08-18,10.0,84.0
9,2019-08-21,2019-09-09,84.0,138.0
9,2019-09-10,2019-09-26,138.0,134.0
9,2019-09-27,2019-10-22,134.0,138.0
9,2019-10-23,2019-11-16,138.0,120.0
9,2019-11-17,2019-11-30,120.0,138.0
9,2019-12-01,2019-12-16,138.0,102.0
10,2019-01-09,2019-02-02,16.0,10.0
10,2019-02-06,2019-02-15,10.0,140.0
10,2019-02-17,2019-03-29,140.0,38.0
10,2019-03-29,2019-04-04,38.0,92.0
10,2019-04-05,2019-04-15,92.0,70.0
10,2019-04-17,2019-05-19,70.0,10.0
10,2019-05-20,2019-06-04,10.0,82.0
10,2019-06-05,2019-06-21,82.0,10.0
10,2019-06-23,2019-07-08,10.0,95.0
10,2019-07-09,2019-07-24,95.0,138.0
10,2019-07-25,2019-08-14,138.0,134.0
10,2019-08-15,2019-09-04,134.0,10.0
10,2019-09-05,2019-09-15,10.0,87.0
10,2019-09-16,2019-10-02,87.0,57.0
10,2019-10-03,2019-10-17,57.0,44.0
10,2019-10-18,2019-11-09,44.0,165.0
10,2019-11-11,2019-11-24,165.0,20.0
10,2019-11-25,2019-12-13,20.0,91.0
11,2019-01-11,2019-02-14,139.0,138.0
11,2019-04-16,2019-05-10,138.0,23.0
11,2019-05-12,2019-06-12,23.0,91.0
11,2019-06-13,2019-06-28,91.0,83.0
11,2019-06-29,2019-07-03,83.0,165.0
11,2019-07-05,2019-07-05,165.0,138.0
11,2019-07-07,2019-07-12,138.0,83.0
11,2019-07-13,2019-07-15,83.0,138.0
11,2019-07-18,2019-08-22,138.0,38.0
11,2019-08-23,2019-09-16,38.0,55.0
11,2019-09-17,2019-10-14,55.0,20.0
11,2019-10-15,2019-10-27,20.0,138.0
11,2019-10-28,2019-11-26,138.0,34.0
11,2019-11-27,2019-11-28,34.0,38.0
12,2019-01-06,2019-01-20,65.0,104.0
12,2019-01-21,2019-02-02,104.0,65.0
12,2019-02-03,2019-02-18,65.0,104.0
12,2019-02-19,2019-03-02,104.0,65.0
12,2019-03-03,2019-03-13,65.0,104.0
12,2019-03-15,2019-03-28,104.0,65.0
12,2019-03-29,2019-04-12,65.0,104.0
12,2019-04-13,2019-04-26,104.0,149.0
12,2019-04-28,2019-05-10,149.0,104.0
12,2019-05-11,2019-05-24,104.0,65.0
12,2019-05-25,2019-06-08,65.0,104.0
12,2019-06-13,2019-06-25,104.0,65.0
12,2019-06-26,2019-07-08,65.0,104.0
12,2019-07-09,2019-07-19,104.0,65.0
12,2019-07-20,2019-07-22,65.0,34.0
12,2019-07-23,2019-08-16,34.0,97.0
12,2019-08-17,2019-09-11,97.0,134.0
12,2019-09-12,2019-09-20,134.0,55.0
12,2019-09-21,2019-10-16,55.0,36.0
12,2019-10-19,2019-10-29,36.0,10.0
12,2019-10-30,2019-11-28,10.0,149.0
13,2019-01-25,2019-02-15,55.0,27.0
13,2019-02-16,2019-03-03,27.0,138.0
13,2019-03-05,2019-03-25,138.0,134.0
13,2019-03-26,2019-03-31,134.0,55.0
13,2019-04-12,2019-05-04,55.0,72.0
13,2019-05-06,2019-05-20,72.0,104.0
13,2019-05-21,2019-06-01,104.0,29.0
13,2019-06-02,2019-06-15,29.0,104.0
13,2019-06-17,2019-06-29,104.0,13.0
13,2019-07-02,2019-07-03,13.0,72.0
13,2019-07-04,2019-07-14,72.0,104.0
13,2019-07-15,2019-07-27,104.0,13.0
13,2019-07-29,2019-08-09,13.0,104.0
13,2019-08-10,2019-08-22,104.0,13.0
13,2019-08-27,2019-10-01,13.0,138.0
13,2019-10-03,2019-11-03,138.0,115.0
13,2019-11-06,2019-11-12,115.0,32.0
13,2019-11-14,2019-11-25,32.0,98.0
14,2019-01-16,2019-01-19,134.0,55.0
14,2019-01-20,2019-02-17,55.0,72.0
14,2019-02-18,2019-02-24,72.0,115.0
14,2019-03-23,2019-03-23,115.0,54.0
14,2019-04-03,2019-04-04,54.0,115.0
14,2019-04-04,2019-04-05,115.0,54.0
14,2019-04-16,2019-04-17,54.0,115.0
14,2019-04-19,2019-04-30,115.0,73.0
14,2019-05-01,2019-05-11,73.0,51.0
14,2019-05-12,2019-05-22,51.0,156.0
14,2019-05-23,2019-06-02,156.0,14.0
14,2019-06-04,2019-06-17,14.0,99.0
14,2019-06-18,2019-06-26,99.0,30.0
14,2019-06-27,2019-07-14,30.0,115.0
14,2019-07-17,2019-07-28,115.0,99.0
14,2019-07-30,2019-08-07,99.0,151.0
14,2019-08-09,2019-08-12,151.0,34.0
14,2019-08-12,2019-08-25,34.0,54.0
14,2019-09-03,2019-09-04,54.0,115.0
14,2019-09-04,2019-09-05,115.0,54.0
14,2019-09-10,2019-09-11,54.0,115.0
14,2019-09-12,2019-09-13,115.0,54.0
14,2019-09-22,2019-09-22,54.0,115.0
14,2019-09-24,2019-09-25,115.0,54.0
14,2019-09-28,2019-10-07,54.0,32.0
14,2019-10-09,2019-10-18,32.0,7.0
14,2019-10-20,2019-10-25,7.0,88.0
14,2019-10-26,2019-10-29,88.0,115.0
14,2019-10-30,2019-11-21,115.0,91.0
15,2019-01-08,2019-01-20,56.0,10.0
15,2019-01-21,2019-02-07,10.0,134.0
15,2019-02-08,2019-02-13,134.0,55.0
15,2019-02-20,2019-03-18,55.0,111.0
15,2019-03-20,2019-03-29,111.0,34.0
15,2019-04-02,2019-04-16,34.0,104.0
15,2019-04-18,2019-05-06,104.0,75.0
15,2019-05-08,2019-05-09,75.0,154.0
15,2019-05-09,2019-06-07,154.0,57.0
15,2019-06-08,2019-07-03,57.0,75.0
15,2019-07-05,2019-07-12,75.0,92.0
15,2019-07-13,2019-07-22,92.0,58.0
15,2019-07-23,2019-07-24,58.0,34.0
15,2019-07-25,2019-08-25,34.0,91.0
15,2019-08-26,2019-09-16,91.0,126.0
15,2019-09-17,2019-10-06,126.0,57.0
15,2019-10-07,2019-10-27,57.0,115.0
15,2019-10-30,2019-11-18,115.0,57.0
15,2019-11-19,2019-12-01,57.0,16.0
15,2019-12-02,2019-12-18,16.0,10.0
16,2019-01-20,2019-02-03,136.0,10.0
16,2019-02-08,2019-02-18,10.0,46.0
16,2019-02-19,2019-03-06,46.0,57.0
16,2019-03-07,2019-03-27,57.0,115.0
16,2019-03-28,2019-04-18,115.0,91.0
16,2019-04-19,2019-05-29,91.0,149.0
16,2019-05-31,2019-06-29,149.0,55.0
16,2019-07-03,2019-07-30,55.0,38.0
16,2019-07-30,2019-08-24,38.0,55.0
16,2019-08-25,2019-10-01,55.0,7.0
16,2019-10-01,2019-10-07,7.0,115.0
16,2019-10-07,2019-10-28,115.0,57.0
16,2019-10-29,2019-11-15,57.0,16.0
16,2019-11-16,2019-11-26,16.0,10.0
16,2019-11-28,2019-12-10,10.0,20.0
17,2019-01-07,2019-02-08,138.0,11.0
17,2019-02-09,2019-02-20,11.0,115.0
17,2019-02-23,2019-03-08,115.0,84.0
17,2019-03-09,2019-03-11,84.0,37.0
17,2019-03-13,2019-03-19,37.0,27.0
17,2019-04-07,2019-04-25,27.0,91.0
17,2019-04-26,2019-05-27,91.0,139.0
17,2019-05-28,2019-07-01,139.0,138.0
17,2019-07-03,2019-08-04,138.0,120.0
17,2019-08-05,2019-08-25,120.0,138.0
17,2019-08-26,2019-08-26,138.0,175.0
17,2019-08-27,2019-09-27,175.0,7.0
17,2019-09-28,2019-10-02,7.0,115.0
17,2019-10-03,2019-11-05,115.0,138.0
18,2019-01-04,2019-01-06,121.0,115.0
18,2019-01-08,2019-01-16,115.0,70.0
18,2019-01-18,2019-01-30,70.0,32.0
18,2019-01-31,2019-02-12,32.0,34.0
18,2019-02-13,2019-02-23,34.0,104.0
18,2019-02-25,2019-03-07,104.0,13.0
18,2019-03-09,2019-03-22,13.0,104.0
18,2019-03-25,2019-04-07,104.0,149.0
18,2019-04-11,2019-05-09,149.0,138.0
18,2019-05-14,2019-05-16,138.0,83.0
18,2019-05-18,2019-05-20,83.0,138.0
18,2019-05-28,2019-06-13,138.0,134.0
18,2019-06-19,2019-07-10,134.0,10.0
18,2019-07-16,2019-07-29,10.0,120.0
18,2019-07-30,2019-08-08,120.0,10.0
18,2019-08-11,2019-08-25,10.0,44.0
18,2019-08-27,2019-09-16,44.0,165.0
18,2019-10-09,2019-11-07,165.0,72.0
18,2019-11-09,2019-11-12,72.0,58.0
18,2019-11-13,2019-11-22,58.0,100.0
19,2019-01-18,2019-02-05,147.0,35.0
19,2019-02-06,2019-03-01,35.0,147.0
19,2019-03-02,2019-03-19,147.0,23.0
19,2019-03-21,2019-04-09,23.0,147.0
19,2019-04-10,2019-04-30,147.0,45.0
19,2019-05-02,2019-05-04,45.0,114.0
19,2019-05-05,2019-05-23,114.0,147.0
19,2019-05-24,2019-06-14,147.0,114.0
19,2019-06-16,2019-07-11,114.0,147.0
19,2019-07-12,2019-07-30,147.0,35.0
19,2019-08-01,2019-08-23,35.0,147.0
19,2019-08-24,2019-09-10,147.0,23.0
19,2019-09-12,2019-10-03,23.0,147.0
19,2019-10-04,2019-10-19,147.0,136.0
19,2019-10-22,2019-11-07,136.0,147.0
19,2019-11-08,2019-11-25,147.0,56.0
19,2019-11-27,2019-12-10,56.0,147.0
19,2019-12-11,2019-12-28,147.0,23.0
20,2019-01-15,2019-01-29,91.0,56.0
20,2019-02-01,2019-02-20,56.0,115.0
20,2019-02-22,2019-03-03,115.0,32.0
20,2019-03-04,2019-03-18,32.0,149.0
20,2019-03-20,2019-04-15,149.0,138.0
20,2019-04-19,2019-05-22,138.0,114.0
20,2019-05-25,2019-06-15,114.0,57.0
20,2019-06-16,2019-07-13,57.0,149.0
20,2019-07-15,2019-07-28,149.0,104.0
20,2019-07-29,2019-08-08,104.0,75.0
20,2019-08-10,2019-08-22,75.0,32.0
20,2019-08-23,2019-08-28,32.0,115.0
20,2019-08-31,2019-09-19,115.0,104.0
20,2019-09-20,2019-10-05,104.0,13.0
20,2019-10-08,2019-11-04,13.0,138.0
20,2019-11-05,2019-12-08,138.0,115.0
20,2019-12-08,2019-12-08,115.0,54.0
20,2019-12-10,2019-12-16,54.0,99.0
20,2019-12-17,2019-12-17,99.0,32.0
21,2019-01-04,2019-02-04,23.0,91.0
21,2019-02-05,2019-02-26,91.0,82.0
21,2019-02-27,2019-03-14,82.0,138.0
21,2019-03-16,2019-03-27,138.0,46.0
21,2019-03-28,2019-04-11,46.0,36.0
21,2019-05-05,2019-05-18,36.0,10.0
21,2019-05-28,2019-05-30,10.0,105.0
21,2019-05-31,2019-06-07,105.0,138.0
21,2019-06-08,2019-07-10,138.0,111.0
21,2019-07-11,2019-08-09,111.0,91.0
21,2019-08-11,2019-09-13,91.0,7.0
21,2019-09-13,2019-10-22,7.0,138.0
21,2019-10-26,2019-12-04,138.0,139.0
22,2019-05-02,2019-05-27,72.0,10.0
22,2019-06-04,2019-06-06,10.0,19.0
22,2019-06-07,2019-06-09,19.0,10.0
22,2019-06-13,2019-06-25,10.0,96.0
22,2019-06-26,2019-07-14,96.0,10.0
22,2019-07-21,2019-08-02,10.0,96.0
22,2019-08-03,2019-08-24,96.0,160.0
22,2019-08-26,2019-11-10,160.0,115.0
22,2019-11-15,2019-12-03,115.0,100.0
23,2019-01-18,2019-01-31,7.0,156.0
23,2019-02-06,2019-02-24,156.0,111.0
23,2019-02-25,2019-03-26,111.0,10.0
23,2019-03-27,2019-04-04,10.0,140.0
23,2019-04-18,2019-04-24,140.0,10.0
23,2019-06-21,2019-06-23,10.0,19.0
23,2019-06-24,2019-06-26,19.0,10.0
23,2019-07-02,2019-07-24,10.0,23.0
23,2019-08-17,2019-09-10,23.0,10.0
23,2019-10-05,2019-10-30,10.0,115.0
23,2019-10-31,2019-11-04,115.0,7.0
23,2019-11-05,2019-11-14,7.0,99.0
23,2019-11-16,2019-11-24,99.0,154.0
23,2019-11-25,2019-12-09,154.0,59.0
23,2019-12-10,2019-12-18,59.0,115.0
23,2019-12-20,2019-12-31,115.0,58.0
24,2019-01-17,2019-02-19,160.0,23.0
24,2019-02-21,2019-03-27,23.0,160.0
24,2019-03-29,2019-04-26,160.0,23.0
24,2019-04-27,2019-05-04,23.0,84.0
24,2019-05-05,2019-05-23,84.0,138.0
24,2019-05-24,2019-06-05,138.0,20.0
24,2019-06-07,2019-06-20,20.0,138.0
24,2019-06-24,2019-08-04,138.0,51.0
24,2019-08-06,2019-09-02,51.0,138.0
24,2019-09-06,2019-10-09,138.0,115.0
24,2019-10-10,2019-10-17,115.0,139.0
24,2019-10-18,2019-10-20,139.0,34.0
24,2019-10-24,2019-11-22,34.0,138.0
24,2019-11-23,2019-12-07,138.0,136.0
25,2019-01-05,2019-01-19,104.0,149.0
25,2019-01-21,2019-01-23,149.0,34.0
25,2019-01-24,2019-02-09,34.0,156.0
25,2019-02-11,2019-02-21,156.0,14.0
25,2019-02-22,2019-02-28,14.0,115.0
25,2019-03-01,2019-04-03,115.0,10.0
25,2019-04-05,2019-04-14,10.0,120.0
25,2019-04-16,2019-04-27,120.0,10.0
25,2019-05-17,2019-06-03,10.0,96.0
25,2019-06-05,2019-06-16,96.0,10.0
25,2019-06-26,2019-07-08,10.0,96.0
25,2019-07-09,2019-07-13,96.0,27.0
25,2019-07-19,2019-09-18,27.0,23.0
25,2019-09-20,2019-09-28,23.0,84.0
25,2019-09-28,2019-10-13,84.0,10.0
25,2019-10-19,2019-11-02,10.0,96.0
25,2019-11-06,2019-11-18,96.0,10.0
25,2019-11-22,2019-12-01,10.0,33.0
26,2019-01-01,2019-01-25,147.0,76.0
26,2019-01-26,2019-02-01,76.0,115.0
26,2019-02-02,2019-03-07,115.0,140.0
26,2019-03-12,2019-03-29,140.0,147.0
26,2019-03-30,2019-04-11,147.0,153.0
26,2019-04-13,2019-05-03,153.0,147.0
26,2019-05-04,2019-05-24,147.0,23.0
26,2019-05-25,2019-06-21,23.0,147.0
26,2019-06-23,2019-07-12,147.0,114.0
26,2019-07-16,2019-08-01,114.0,147.0
26,2019-08-02,2019-08-18,147.0,23.0
26,2019-08-20,2019-09-09,23.0,147.0
26,2019-09-10,2019-09-25,147.0,79.0
26,2019-09-27,2019-10-17,79.0,147.0
27,2019-01-30,2019-02-01,7.0,13.0
27,2019-02-02,2019-02-14,13.0,104.0
27,2019-02-15,2019-03-01,104.0,139.0
27,2019-03-02,2019-03-30,139.0,55.0
27,2019-03-31,2019-04-26,55.0,11.0
27,2019-04-27,2019-05-03,11.0,92.0
27,2019-05-05,2019-05-09,92.0,121.0
27,2019-05-11,2019-05-13,121.0,115.0
27,2019-05-15,2019-06-10,115.0,91.0
27,2019-06-12,2019-06-27,91.0,83.0
27,2019-07-05,2019-07-07,83.0,138.0
27,2019-07-15,2019-07-17,138.0,83.0
27,2019-07-21,2019-07-24,83.0,138.0
27,2019-07-28,2019-08-25,138.0,114.0
27,2019-08-30,2019-09-21,114.0,57.0
27,2019-09-22,2019-10-11,57.0,115.0
27,2019-10-12,2019-10-23,115.0,51.0
27,2019-10-23,2019-11-19,51.0,91.0
28,2019-01-11,2019-01-23,91.0,44.0
28,2019-04-09,2019-04-29,44.0,91.0
28,2019-04-30,2019-05-10,91.0,144.0
28,2019-05-11,2019-06-04,144.0,91.0
28,2019-06-05,2019-06-26,91.0,114.0
28,2019-06-29,2019-07-24,114.0,91.0
28,2019-07-26,2019-08-03,91.0,36.0
28,2019-08-04,2019-08-17,36.0,91.0
28,2019-08-19,2019-09-13,91.0,174.0
28,2019-09-17,2019-10-10,174.0,91.0
28,2019-10-12,2019-10-23,91.0,144.0
28,2019-10-24,2019-11-06,144.0,91.0
28,2019-11-08,2019-11-24,91.0,44.0
28,2019-11-25,2019-12-10,44.0,91.0
29,2019-01-08,2019-01-26,147.0,23.0
29,2019-01-27,2019-02-14,23.0,147.0
29,2019-02-15,2019-03-05,147.0,23.0
29,2019-03-06,2019-03-25,23.0,147.0
29,2019-05-09,2019-05-27,147.0,23.0
29,2019-05-28,2019-06-14,23.0,147.0
29,2019-07-30,2019-08-17,147.0,115.0
29,2019-08-20,2019-09-17,115.0,147.0
29,2019-09-19,2019-10-05,147.0,35.0
29,2019-10-07,2019-10-25,35.0,147.0
30,2019-01-01,2019-01-25,56.0,91.0
30,2019-01-27,2019-02-12,91.0,82.0
30,2019-02-13,2019-03-10,82.0,138.0
30,2019-03-18,2019-03-30,138.0,46.0
30,2019-03-31,2019-04-13,46.0,160.0
30,2019-04-15,2019-05-02,160.0,136.0
30,2019-05-03,2019-05-17,136.0,138.0
30,2019-05-18,2019-06-04,138.0,136.0
30,2019-06-06,2019-07-11,136.0,160.0
30,2019-07-12,2019-07-22,160.0,120.0
30,2019-07-23,2019-08-03,120.0,138.0
30,2019-08-05,2019-09-16,138.0,35.0
30,2019-09-18,2019-10-08,35.0,91.0
30,2019-10-10,2019-11-03,91.0,115.0
30,2019-11-05,2019-11-17,115.0,29.0
31,2019-01-05,2019-01-21,138.0,82.0
31,2019-01-22,2019-02-06,82.0,10.0
31,2019-02-07,2019-02-15,10.0,93.0
31,2019-02-18,2019-02-26,93.0,138.0
31,2019-02-27,2019-02-28,138.0,83.0
31,2019-03-07,2019-03-09,83.0,138.0
31,2019-03-12,2019-04-09,138.0,11.0
31,2019-04-11,2019-05-07,11.0,57.0
31,2019-05-08,2019-05-29,57.0,115.0
31,2019-06-02,2019-06-10,115.0,32.0
31,2019-06-11,2019-06-29,32.0,115.0
31,2019-06-30,2019-07-20,115.0,91.0
31,2019-07-21,2019-08-11,91.0,35.0
31,2019-08-12,2019-09-05,35.0,91.0
31,2019-09-06,2019-09-19,91.0,44.0
31,2019-09-20,2019-10-06,44.0,138.0
31,2019-10-09,2019-11-08,138.0,126.0
31,2019-11-10,2019-11-18,126.0,84.0
31,2019-11-19,2019-12-10,84.0,115.0
32,2019-02-18,2019-02-28,91.0,87.0
32,2019-02-28,2019-03-16,87.0,91.0
32,2019-03-18,2019-04-13,91.0,35.0
32,2019-04-14,2019-05-01,35.0,91.0
32,2019-05-02,2019-05-26,91.0,45.0
32,2019-05-27,2019-05-29,45.0,114.0
32,2019-05-30,2019-06-25,114.0,91.0
32,2019-06-26,2019-07-24,91.0,48.0
32,2019-07-25,2019-08-02,48.0,115.0
32,2019-08-03,2019-08-24,115.0,91.0
32,2019-08-25,2019-09-13,91.0,35.0
32,2019-09-14,2019-09-23,35.0,115.0
32,2019-10-14,2019-12-07,115.0,91.0
33,2019-01-09,2019-01-22,32.0,154.0
33,2019-01-23,2019-02-07,154.0,104.0
33,2019-02-09,2019-02-24,104.0,149.0
33,2019-02-26,2019-03-27,149.0,76.0
33,2019-03-28,2019-04-07,76.0,73.0
33,2019-04-08,2019-04-24,73.0,98.0
33,2019-04-25,2019-05-23,98.0,57.0
33,2019-05-24,2019-07-09,57.0,91.0
33,2019-07-10,2019-08-04,91.0,7.0
33,2019-08-05,2019-08-31,7.0,138.0
33,2019-09-01,2019-09-21,138.0,84.0
33,2019-09-24,2019-10-12,84.0,138.0
33,2019-10-14,2019-10-20,138.0,10.0
33,2019-10-22,2019-11-19,10.0,34.0
33,2019-11-20,2019-11-22,34.0,152.0
33,2019-11-24,2019-12-04,152.0,104.0
33,2019-12-05,2019-12-17,104.0,13.0
34,2019-01-24,2019-03-02,82.0,35.0
34,2019-03-03,2019-03-30,35.0,10.0
34,2019-04-01,2019-04-27,10.0,149.0
34,2019-04-29,2019-05-07,149.0,115.0
34,2019-05-08,2019-05-29,115.0,91.0
34,2019-05-30,2019-06-19,91.0,115.0
34,2019-06-22,2019-07-15,115.0,91.0
34,2019-07-16,2019-07-25,91.0,140.0
34,2019-07-27,2019-08-04,140.0,10.0
34,2019-08-07,2019-08-22,10.0,20.0
34,2019-08-22,2019-09-08,20.0,91.0
34,2019-09-10,2019-10-08,91.0,35.0
34,2019-10-10,2019-10-30,35.0,91.0
34,2019-10-31,2019-11-26,91.0,111.0
35,2019-01-11,2019-02-12,160.0,15.0
35,2019-02-14,2019-03-07,15.0,138.0
35,2019-03-08,2019-04-09,138.0,115.0
35,2019-06-01,2019-06-02,115.0,54.0
35,2019-06-06,2019-06-22,54.0,80.0
35,2019-06-26,2019-07-25,80.0,160.0
